word,n,prob
abendliche,1,3.0543117719284313e-6
abendlichen,1,3.0543117719284313e-6
abendlicher,1,3.0543117719284313e-6
abendliches,1,3.0543117719284313e-6
abends,3,9.162935315785295e-6
abendstunden,1,3.0543117719284313e-6
abenteuer,9,2.7488805947355882e-5
abenteuerliche,2,6.1086235438568626e-6
abenteuerlichen,1,3.0543117719284313e-6
abenteuerroman,1,3.0543117719284313e-6
abenteuers,1,3.0543117719284313e-6
abenteuertouristen,1,3.0543117719284313e-6
abenteurer,4,1.2217247087713725e-5
abenteurerinnen,1,3.0543117719284313e-6
aber,853,0.002605327941454952
aberkennung,1,3.0543117719284313e-6
abermalige,1,3.0543117719284313e-6
abermals,2,6.1086235438568626e-6
abermillionen,1,3.0543117719284313e-6
abfahren,2,6.1086235438568626e-6
abfahrer,4,1.2217247087713725e-5
abfahrt,10,3.0543117719284315e-5
abfahrten,1,3.0543117719284313e-6
abfahrtschef,3,9.162935315785295e-6
abfall,9,2.7488805947355882e-5
abfallbetriebe,1,3.0543117719284313e-6
abfallcontainer,1,3.0543117719284313e-6
abfälle,1,3.0543117719284313e-6
abfalleimer,1,3.0543117719284313e-6
abfallentsorgung,1,3.0543117719284313e-6
abfallhai,1,3.0543117719284313e-6
abfällig,1,3.0543117719284313e-6
abfallmengen,1,3.0543117719284313e-6
abfalls,1,3.0543117719284313e-6
abfärben,1,3.0543117719284313e-6
abfedern,2,6.1086235438568626e-6
abfederung,1,3.0543117719284313e-6
abfertigung,1,3.0543117719284313e-6
abfertigungsprozess,1,3.0543117719284313e-6
abfeuert,1,3.0543117719284313e-6
abflauende,1,3.0543117719284313e-6
abflauenden,1,3.0543117719284313e-6
abfuhr,4,1.2217247087713725e-5
abführen,1,3.0543117719284313e-6
abgabe,2,6.1086235438568626e-6
abgaben,3,9.162935315785295e-6
abgang,18,5.4977611894711765e-5
abgas,2,6.1086235438568626e-6
abgasbetrug,1,3.0543117719284313e-6
abgase,1,3.0543117719284313e-6
abgasklage,1,3.0543117719284313e-6
abgasnorm,1,3.0543117719284313e-6
abgasreinigung,2,6.1086235438568626e-6
abgasskandal,1,3.0543117719284313e-6
abgaswerte,1,3.0543117719284313e-6
abgearbeitet,1,3.0543117719284313e-6
abgebaut,2,6.1086235438568626e-6
abgeben,5,1.5271558859642157e-5
abgebildet,1,3.0543117719284313e-6
abgebildeten,1,3.0543117719284313e-6
abgeblasen,1,3.0543117719284313e-6
abgeblitzt,2,6.1086235438568626e-6
abgeblockt,1,3.0543117719284313e-6
abgebracht,1,3.0543117719284313e-6
abgebrannt,3,9.162935315785295e-6
abgebremst,1,3.0543117719284313e-6
abgebrochen,3,9.162935315785295e-6
abgedeckt,1,3.0543117719284313e-6
abgefeuert,4,1.2217247087713725e-5
abgeflaut,1,3.0543117719284313e-6
abgeführt,2,6.1086235438568626e-6
abgefunden,1,3.0543117719284313e-6
abgegeben,3,9.162935315785295e-6
abgehakt,1,3.0543117719284313e-6
abgehalfterten,1,3.0543117719284313e-6
abgehängt,2,6.1086235438568626e-6
abgehängte,1,3.0543117719284313e-6
abgehängten,3,9.162935315785295e-6
abgehoben,1,3.0543117719284313e-6
abgehobenen,1,3.0543117719284313e-6
abgeholt,1,3.0543117719284313e-6
abgehörten,1,3.0543117719284313e-6
abgekapselte,1,3.0543117719284313e-6
abgeklärt,1,3.0543117719284313e-6
abgeklärtheit,1,3.0543117719284313e-6
abgekoppelt,1,3.0543117719284313e-6
abgekühlt,1,3.0543117719284313e-6
abgelaufen,3,9.162935315785295e-6
abgelaufenen,2,6.1086235438568626e-6
abgelegene,1,3.0543117719284313e-6
abgelegenen,2,6.1086235438568626e-6
abgelegt,2,6.1086235438568626e-6
abgelehnt,12,3.665174126314118e-5
abgelehnter,1,3.0543117719284313e-6
abgeliefert,1,3.0543117719284313e-6
abgelöst,1,3.0543117719284313e-6
abgemagert,1,3.0543117719284313e-6
abgemeldet,1,3.0543117719284313e-6
abgenommen,1,3.0543117719284313e-6
abgeordnete,16,4.88689883508549e-5
abgeordneten,10,3.0543117719284315e-5
abgeordneter,4,1.2217247087713725e-5
abgeraten,1,3.0543117719284313e-6
abgeräumt,1,3.0543117719284313e-6
abgerichtet,1,3.0543117719284313e-6
abgeriegelt,1,3.0543117719284313e-6
abgerissen,2,6.1086235438568626e-6
abgerungen,1,3.0543117719284313e-6
abgesagt,10,3.0543117719284315e-5
abgesang,5,1.5271558859642157e-5
abgeschafft,4,1.2217247087713725e-5
abgeschaltet,2,6.1086235438568626e-6
abgeschiedene,1,3.0543117719284313e-6
abgeschlagenen,1,3.0543117719284313e-6
abgeschlossen,7,2.1380182403499018e-5
abgeschlossenes,1,3.0543117719284313e-6
abgeschmettert,1,3.0543117719284313e-6
abgeschnitten,2,6.1086235438568626e-6
abgeschoben,3,9.162935315785295e-6
abgeschossen,3,9.162935315785295e-6
abgeschossener,2,6.1086235438568626e-6
abgeschreckt,1,3.0543117719284313e-6
abgeschwächt,1,3.0543117719284313e-6
abgesehen,11,3.359742949121275e-5
abgesetzt,3,9.162935315785295e-6
abgesicherten,1,3.0543117719284313e-6
abgesperrt,1,3.0543117719284313e-6
abgestattet,1,3.0543117719284313e-6
abgestellt,1,3.0543117719284313e-6
abgestiegen,1,3.0543117719284313e-6
abgestimmt,4,1.2217247087713725e-5
abgestorbenen,1,3.0543117719284313e-6
abgestraft,4,1.2217247087713725e-5
abgestreift,1,3.0543117719284313e-6
abgestürzt,7,2.1380182403499018e-5
abgestürzten,3,9.162935315785295e-6
abgestürztes,1,3.0543117719284313e-6
abgestützte,1,3.0543117719284313e-6
abgetan,1,3.0543117719284313e-6
abgetrennte,1,3.0543117719284313e-6
abgetreten,1,3.0543117719284313e-6
abgetretener,1,3.0543117719284313e-6
abgewählt,3,9.162935315785295e-6
abgewählte,3,9.162935315785295e-6
abgewählten,1,3.0543117719284313e-6
abgewandt,2,6.1086235438568626e-6
abgewehrt,1,3.0543117719284313e-6
abgewendet,3,9.162935315785295e-6
abgewertet,1,3.0543117719284313e-6
abgewickelt,1,3.0543117719284313e-6
abgewickelte,1,3.0543117719284313e-6
abgewiesene,1,3.0543117719284313e-6
abgewiesenen,1,3.0543117719284313e-6
abgewiesener,1,3.0543117719284313e-6
abgeworben,1,3.0543117719284313e-6
abgezeichnet,1,3.0543117719284313e-6
abgezogen,3,9.162935315785295e-6
abgezweigt,2,6.1086235438568626e-6
abgleiten,1,3.0543117719284313e-6
abgrenzung,1,3.0543117719284313e-6
abgrund,8,2.443449417542745e-5
abgründe,6,1.832587063157059e-5
abgründen,1,3.0543117719284313e-6
abgründig,1,3.0543117719284313e-6
abgründiger,1,3.0543117719284313e-6
abgrunds,2,6.1086235438568626e-6
abhaken,1,3.0543117719284313e-6
abhalten,4,1.2217247087713725e-5
abhaltung,1,3.0543117719284313e-6
abhanden,3,9.162935315785295e-6
abhängen,1,3.0543117719284313e-6
abhängig,8,2.443449417542745e-5
abhängigkeit,6,1.832587063157059e-5
abheben,1,3.0543117719284313e-6
abhebenden,1,3.0543117719284313e-6
abhilfe,2,6.1086235438568626e-6
abholzung,1,3.0543117719284313e-6
abholzungszahlen,1,3.0543117719284313e-6
abhöraffäre,1,3.0543117719284313e-6
abhörwanze,1,3.0543117719284313e-6
abiturienten,1,3.0543117719284313e-6
abiy,4,1.2217247087713725e-5
abkanzelte,1,3.0543117719284313e-6
abkapselt,1,3.0543117719284313e-6
abkaufen,1,3.0543117719284313e-6
abkehr,6,1.832587063157059e-5
abklärungen,1,3.0543117719284313e-6
abklatsch,1,3.0543117719284313e-6
abklingbecken,1,3.0543117719284313e-6
abkommen,52,1.5882421214027844e-4
abkommens,7,2.1380182403499018e-5
abkühlt,1,3.0543117719284313e-6
abkühlung,5,1.5271558859642157e-5
abladen,1,3.0543117719284313e-6
ablasshandel,1,3.0543117719284313e-6
ablauf,7,2.1380182403499018e-5
ablaufdatum,1,3.0543117719284313e-6
abläufe,1,3.0543117719284313e-6
ablegen,4,1.2217247087713725e-5
ableger,1,3.0543117719284313e-6
ablehnen,2,6.1086235438568626e-6
ablehnende,1,3.0543117719284313e-6
ablehnt,2,6.1086235438568626e-6
ablehnung,7,2.1380182403499018e-5
ablenken,2,6.1086235438568626e-6
ablenkung,1,3.0543117719284313e-6
ablesen,3,9.162935315785295e-6
abliefern,2,6.1086235438568626e-6
abloh,5,1.5271558859642157e-5
ablösen,1,3.0543117719284313e-6
ablösung,2,6.1086235438568626e-6
abmachungen,1,3.0543117719284313e-6
abmagerungskur,1,3.0543117719284313e-6
abmühen,1,3.0543117719284313e-6
abnehmbarem,1,3.0543117719284313e-6
abnehmen,2,6.1086235438568626e-6
abnehmendem,1,3.0543117719284313e-6
abnehmenden,1,3.0543117719284313e-6
abnehmer,1,3.0543117719284313e-6
abneigung,2,6.1086235438568626e-6
abnormal,1,3.0543117719284313e-6
abo,2,6.1086235438568626e-6
abonnement,1,3.0543117719284313e-6
abonnenten,3,9.162935315785295e-6
abonnentinnen,1,3.0543117719284313e-6
abonniert,1,3.0543117719284313e-6
aborigines,1,3.0543117719284313e-6
abqualifiziert,1,3.0543117719284313e-6
abraham,1,3.0543117719284313e-6
abrahamian,1,3.0543117719284313e-6
abrahams,1,3.0543117719284313e-6
abrahamsen,1,3.0543117719284313e-6
abramovic,1,3.0543117719284313e-6
abramović,1,3.0543117719284313e-6
abrät,1,3.0543117719284313e-6
abrechnung,4,1.2217247087713725e-5
abreissen,1,3.0543117719284313e-6
abrisse,1,3.0543117719284313e-6
abrücken,1,3.0543117719284313e-6
abrückende,2,6.1086235438568626e-6
abrupt,4,1.2217247087713725e-5
abrupte,1,3.0543117719284313e-6
abrupten,2,6.1086235438568626e-6
abrupter,1,3.0543117719284313e-6
abrüstung,2,6.1086235438568626e-6
abrüstungsvertrag,3,9.162935315785295e-6
abrüstungsverträge,1,3.0543117719284313e-6
abrutschen,1,3.0543117719284313e-6
abruzzen,1,3.0543117719284313e-6
absage,12,3.665174126314118e-5
absagen,2,6.1086235438568626e-6
absahnen,2,6.1086235438568626e-6
absatz,2,6.1086235438568626e-6
absatzeinbruch,1,3.0543117719284313e-6
abschaffen,3,9.162935315785295e-6
abschaffung,14,4.2760364806998036e-5
abschaltdatum,1,3.0543117719284313e-6
abschalteinrichtung,1,3.0543117719284313e-6
abschalten,1,3.0543117719284313e-6
abschaltplan,1,3.0543117719284313e-6
abschaltung,1,3.0543117719284313e-6
abschauen,2,6.1086235438568626e-6
abschiebegesetz,1,3.0543117719284313e-6
abschieben,2,6.1086235438568626e-6
abschiebung,3,9.162935315785295e-6
abschiebungen,5,1.5271558859642157e-5
abschied,16,4.88689883508549e-5
abschiedsbriefe,1,3.0543117719284313e-6
abschiedsrede,1,3.0543117719284313e-6
abschiedsspiel,1,3.0543117719284313e-6
